sno,sna,tot,lat,lng,sarea
1490,碧潭渡船頭,32,24.953100,121.537460,新店區
1491,山佳火車站,32,24.972220,121.392640,樹林區
1492,新北市勞工活動中心,34,25.061490,121.450980,五股區
1493,板橋重慶公園,40,25.000080,121.463160,板橋區
1494,林口社區運動公園(公園路),40,25.074640,121.374400,林口區
1495,山北公園,32,25.006530,121.500140,中和區
1496,景平大勇街口,38,24.992020,121.515630,中和區
1497,中港大排願景館,30,25.058940,121.451170,新莊區
1498,頭前國小,30,25.052480,121.465270,新莊區
1499,淡金北新站,46,25.180180,121.453330,淡水區
1500,忠孝活動中心,28,25.016770,121.515280,永和區
1501,淡水海關碼頭園區,40,25.174760,121.431550,淡水區
1502,縣民漢生東路口,60,25.015600,121.467090,板橋區
1503,時光公園,40,25.036150,121.479730,板橋區
1504,積穗國中,32,24.999770,121.478080,中和區
1505,員和公園,34,24.979040,121.442540,土城區
1506,環河公園,36,25.016660,121.450640,板橋區
1507,中興中正路口,30,24.969910,121.546170,新店區
1508,新莊國民運動中心,40,25.039610,121.449620,新莊區
1509,佳和公園(中山路二段64巷),36,25.004690,121.502960,中和區
1510,三鶯國民運動中心,32,24.936140,121.369410,三峽區
